Region Latitude,Region ID,Region Longitude,Average Household Size,Median Household Income,Region Density Percentile,Region Population
18.180103,601,-66.749472,3.239999995,"9,888",70,"19,143"
18.363285,602,-67.180247,3.099999994,"11,384",83,"42,042"
18.448619,603,-67.134224,2.839999996,"10,748",86,"55,592"
18.498987,604,-67.136995,3,"31,199",83,"3,844"
18.182151,606,-66.958807,3.199999996,"9,243",65,"6,449"
18.288319,610,-67.136046,3.009999998,"12,629",79,"28,005"
18.449732,612,-66.698797,2.839999996,"13,000",81,"72,865"
18.426748,616,-66.676692,2.969999999,"10,476",78,"10,525"
18.455499,617,-66.555758,2.969999999,"11,511",81,"23,223"
18.003125,622,-67.167456,2.639999993,"13,634",69,"8,284"
18.08643,623,-67.152226,2.75,"13,565",80,"38,627"
18.055399,624,-66.726029,3.469999999,"12,194",77,"26,719"
18.435246,627,-66.856443,3.069999993,"13,168",79,"35,244"
18.186739,631,-66.851745,3.049999997,"8,345",68,"2,169"
18.073078,637,-66.948643,2.909999996,"12,485",78,"25,935"
18.308139,638,-66.498354,3.259999998,"10,986",70,"19,648"
18.268896,641,-66.705193,3.139999993,"9,901",71,"35,095"
18.442798,646,-66.276894,3.109999999,"16,378",84,"34,114"
17.964529,647,-66.939932,2.869999997,"9,607",73,"5,352"
18.363331,650,-66.567732,3.109999999,"11,544",77,"12,207"
18.457453,652,-66.612173,2.839999996,"12,097",75,"2,903"
17.992112,653,-66.900977,3.039999999,"9,770",78,"16,536"
18.038866,656,-66.791684,3.189999998,"11,361",76,"23,072"
18.432956,659,-66.800394,3.059999995,"12,378",80,"38,925"
18.139108,660,-67.120857,2.819999993,"16,745",84,"16,614"
18.478855,662,-67.019737,2.939999998,"11,753",80,"42,178"
18.212565,664,-66.592437,3.349999994,"11,220",73,"17,318"
18.017819,667,-67.042267,2.909999996,"11,426",74,"26,637"
18.288418,669,-66.875037,3.119999997,"9,758",77,"32,246"
18.241343,670,-66.976041,3.079999998,"9,556",68,"11,174"
18.426137,674,-66.486974,2.969999999,"12,820",81,"45,874"
18.37956,676,-67.084245,3.109999999,"11,271",79,"39,697"
18.336121,677,-67.236754,2.859999999,"11,460",81,"14,767"
18.442334,678,-66.932756,3.069999993,"12,005",81,"27,271"
